job_title,keywords
administrative assistant,"quality improvement, strategic resource, financial analysis, account payable, business model, sale order, information technology, account receivable, clinical informatic, microsoft access, stakeholder engagement, information management, financial literacy, project management, business case, accounting system, marketing material, business requirement, customer service, technology solution, petty cash, emergency procedure, business process, resource planning, detail orient, problem solve"
executive director,"social medium management, medium management, social medium, write communication, real estate, event management, customer service, plan giving, project management, social medium marketing, office management"
business analyst,"social medium, research paper, academic writing, public relation, scope creep, business process, change request, press release"
sales representative,"social medium, blood pressure, long term care, business strategy, wound care, strategic partnership, social medium marketing, com, regional sale, personal branding"
sales representative,"social medium, blood pressure, long term care, business strategy, wound care, strategic partnership, social medium marketing, com, regional sale, personal branding"
product manager,"start ups, medical devices, consulting, product development, technology, project management, marketing strategy, business strategy, product management, research, microsoft excel, strategy, leadership, microsoft office, marketing, hand hygiene, medical device, spreadsheets, management, circuit design, pcb design, quality control, entrepreneurship, sales management, strategic planning, small business marketing, small business financial management, technological innovation, algorithms, business analytics, life skills, innovation, web development, personal development, market research, product innovation"
product manager,"start ups, medical devices, consulting, product development, technology, project management, marketing strategy, business strategy, product management, research, microsoft excel, strategy, leadership, microsoft office, marketing, hand hygiene, medical device, spreadsheets, management, circuit design, pcb design, quality control, entrepreneurship, sales management, strategic planning, small business marketing, small business financial management, technological innovation, algorithms, business analytics, life skills, innovation, web development, personal development, market research, product innovation"
sales associate,"vendor management, project management, manufacturing process, computer science, artificial intelligence"
buyer/supply chain/procurement manager,"vendor management, project management, manufacturing process, computer science, artificial intelligence"
web developer,"css, html, computer science, web application"
web developer,"css, html, computer science, web application"
sales associate,"vocal music, ieee, classical music"
software engineer/developer,"big datum, web platform, remote debugging, computer science, api, apache kafka, react js, web development, architectural pattern, san, node js, apache spark, api gateway"
software engineer/developer,"application development, system architecture, cyber security, performance metric, think leadership, digital security, business transformation, digital transformation, regulatory compliance, strategic planning, business priority, performance management, it infrastructure, software development, vendor management, team leadership, software project management, cloud migration, financial service, agile methodology, business intelligence, contract negotiation, information technology, project management"
data analyst,"research, shell scripting, quality improvement, leadership, critical thinking, microsoft powerpoint, sql, data quality, process improvement, red hat linux"
data analyst,"research, shell scripting, quality improvement, leadership, critical thinking, microsoft powerpoint, sql, data quality, process improvement, red hat linux"
financial analyst,"balance sheet, customer service, process cost, fix asset, merger and acquisition, clean datum, raw datum, financial analysis, inventory management, scenario analysis, operate budget, continuity test, reporting tool, coordinate system, etl, user profile, business process, inventory valuation, erp, power bi, asset management, business continuity, financial statement, budget process, sox, variance analysis, ssis"
financial analyst,"balance sheet, customer service, process cost, fix asset, merger and acquisition, clean datum, raw datum, financial analysis, inventory management, scenario analysis, operate budget, continuity test, reporting tool, coordinate system, etl, user profile, business process, inventory valuation, erp, power bi, asset management, business continuity, financial statement, budget process, sox, variance analysis, ssis"
